segment_title,step_title,actions,Herramientas,Links,Recursos,Detalle
Recursos,"Paso 1
: De naciente a en desarrollo","Desarrolle el caso del marketing entendiendo las tendencias de gasto, creando objetivos de marketing claros y aclarando las necesidades de habilidades y tecnología. Ate los resultados a los objetivos comerciales, como el conocimiento de la marca y la participación del cliente, para mostrar el impacto y justificar el presupuesto. Contratar a un líder de marketing con experiencia digital para desarrollar e implementar la estrategia y adquirir las habilidades adecuadas.",Google Analytics,https://analytics.google.com/analytics/web,1,Dedicación puntual (actual)
Recursos,"Paso 2
: Desarrollando a intermedio","Ejerza influencia en el presupuesto mostrando resultados basados en métricas que se conectan con los objetivos comerciales. Realice un seguimiento, monitoree y comparta resultados entre los equipos de marketing para encontrar formas de optimizar. Cree programas de capacitación que amplíen las habilidades del personal actual y definan los requisitos futuros.",Hootsuite,https://hootsuite.com/es/,2,Dedicación parcial (actual)
Recursos,"Paso 3
: Intermedio a avanzado","Optimice sus inversiones en marketing en torno a las iniciativas más exitosas que generen conciencia, participación del cliente y conversión. Concéntrese en diseñar una organización basada en la agilidad e implemente un enfoque basado en proyectos para los programas e iniciativas de marketing. Evalúe la viabilidad de los servicios internos, como una agencia interna versus socios de agencias digitales externas.",HubSpot,https://www.hubspot.es,3,Dedicación completa (personal actual)
Recursos,"Paso 4
: Avanzado a Maestro",Realice un seguimiento de las actividades y programas con un panel en tiempo real y optimice el rendimiento y el retorno de la inversión. Utilice la presupuestación basada en actividades para vincular programas e iniciativas con la financiación e impulse la rendición de cuentas para la inversión continua. Optimice el uso de agencias asociadas internas y externas para cubrir brechas de habilidades clave y descargar proyectos a socios.,Power BI,https://powerbi.microsoft.com/es-es/,4,Dedicación completa (nuevo personal)
Experiencia del cliente,"Paso 1
: De naciente a en desarrollo","Eduque a sus colegas y líderes sobre la necesidad empresarial de mejorar la experiencia del cliente.Realice un inventario de herramientas, tecnología y procesos para establecer las capacidades redundantes o faltantes en torno a personas, mapas de viaje, procesos de VoC, investigación y tecnología.Identifique a los líderes de CX del departamento y defienda para un mayor intercambio de información, conocimientos y estado del proyecto en un esfuerzo por mejorar la coordinación.",-,-,1,Dedicación puntual (actual)
Experiencia del cliente,"Paso 2
: Desarrollando a intermedio","Vincule los resultados y las métricas de CX con los objetivos comerciales ejecutivos para asegurarse de que se considere un objetivo estratégico y medible.Localice las iniciativas comerciales específicas que necesitan un componente de CX para tener éxito y defina el caso comercial para resolver ese desafío mediante el uso de Herramientas, empleados y procesos de CX. Organice sesiones de aprendizaje entre pares y talleres de CX para compartir el conocimiento del cliente. Enfoque esto inicialmente en ventas y marketing, y luego expanda a otras funciones como TI y cadena de suministro. Trabaje con el liderazgo para ayudarlos a comprender su papel en el modelado y el establecimiento de expectativas de los empleados para comportamientos centrados en el cliente.",Zoho,https://www.zoho.com/es-xl/crm/,2,Dedicación parcial (actual)
Experiencia del cliente,"Paso 3
: Intermedio a avanzado","Promover la relación entre las medidas de percepción y satisfacción del cliente y los KPI financieros o comerciales que preocupan a los líderes Aprovechar los patrocinadores ejecutivos para fomentar una mayor colaboración y participación de aquellos sectores de la organización que aún no están completamente comprometidos con los esfuerzos de CX. líderes y líderes de recursos humanos para considerar las oportunidades de los empleados y los impedimentos para el éxito de CX. Considere cómo sus valores de CX pueden reflejarse en las descripciones de puestos, revisiones de desempeño y estructuras de recompensa para los empleados. Trabaje de manera cruzada para mejorar la calidad de mapas de viaje completos de afuera hacia adentro.",Zoho,https://www.zoho.com/es-xl/crm/,2,Dedicación parcial (actual)
Experiencia del cliente,"Paso 4
: Avanzado a Maestro","Apoyar a los líderes en la reconsideración del propósito y la misión de la organización, llevando el enfoque en el cliente y la CX a la visión central, las aspiraciones y los comportamientos diarios de toda la empresa. Busque oportunidades para celebrar el desempeño individual ejemplar que mejor refleje los valores de CX de su organización.",Zoho,https://www.zoho.com/es-xl/crm/,3,Dedicación completa (personal actual)
Marketing multicanal,"Paso 1
: De naciente a en desarrollo","Desarrolle personajes detallados. Vaya más allá de los datos demográficos estándar para determinar qué impulsa a cada persona a comprar. Considere los proveedores de datos de marketing que enriquecen los perfiles de la audiencia, incluidos los segmentos similares, basados en datos de clientes de primera parte. Comience a identificar y priorizar los eventos de marketing importantes para el cliente y la empresa para comprender las interacciones en tiempo real y en el momento adecuado. estrategia de marketing con objetivos y plazos específicos, y mediante la definición de métricas de éxito del contenido. Audite las capacidades actuales internamente y con las agencias, y comience a llenar los vacíos de habilidades. Seleccione nuevas conexiones de canal según el proceso de compra del cliente. Empiece a demostrar la eficacia de cada canal mediante técnicas de atribución de canales.",Facebook Audience Insights,https://es-la.facebook.com/business/insights/tools/audience-insights,2,Dedicación parcial (actual)
Marketing multicanal,"Paso 2
: Desarrollando a intermedio","Configure reglas de detección en cada canal para responder a eventos importantes. En primer lugar, concéntrese en los eventos fijos y predecibles para saber si debe reaccionar ante ellos y cómo hacerlo. Luego, pase a eventos de tipo variable más complejos.Desarrolle procesos de ejecución de campañas en canales como los medios móviles y sociales que tengan los medios para intercambiar datos e interacciones en tiempo real a través del viaje de compra del cliente.Definir capacidades críticas para un centro de marketing multicanal para alinear y orquestar datos de clientes, programas, contenido, canales, eventos y resultados comerciales. Colabore con el equipo de marketing más amplio, las ventas y los expertos en la materia interna para acceder o construir conjuntamente personas detalladas y mapas de viaje. Identifique los puntos de fricción del cliente que se pueden resolver con el contenido adecuado.Construya un equipo de contenido pequeño y enfocado que trabaje en la producción de contenido para múltiples canales.",Mautic,https://www.mautic.org,2,Dedicación parcial (actual)
