"segment_title";"current_level";"results_lvltt";"results_lvlds"
"Recursos";"1";"Nivel 1: Naciente";"Los presupuestos de marketing, si es que existen, están desconectados de las prioridades, son impredecibles y no financian adecuadamente los programas e iniciativas. Las principales brechas de habilidades no se abordan de manera efectiva, y las inversiones en tecnología son rudimentarias y, a menudo, no están a la altura de la tarea."
"Experiencia del cliente";"1";"Nivel 1: Naciente";"Los esfuerzos de CX tienen un enfoque reactivo en resolver lo que está roto. Existe poco o ningún liderazgo o coordinación de CX en toda la organización. La voz del cliente y los esfuerzos de investigación del cliente son esporádicos, desconectados y contradictorios."
"Marketing multicanal";"1";"Nivel 1: Naciente";"Ya sea que piense en sus actividades como campañas, iniciativas, programas o proyectos más tácticos, los componentes digitales funcionan más como un complemento de los canales tradicionales que como parte de un esfuerzo integrado. Las técnicas digitales se consideran formas más rentables de promover el mensaje, pero hay poco énfasis en la participación constante de los clientes en ambos sentidos."
"Social";"1";"Nivel 1: Naciente";"En esta etapa, las empresas escuchan e interactúan en las redes sociales en intentos inconsistentes y desorganizados de promover y proteger su marca."
"Móvil";"1";"Nivel 1: Naciente";"El marketing móvil se trata como un complemento de telemarketing."
"Comercio digital";"1";"Nivel 1: Naciente";"Las empresas venden a través de uno o más canales digitales (por ejemplo, mercado, sitio web o aplicación móvil de propiedad de una marca o de terceros), pero el comercio digital no se considera fundamental para el crecimiento empresarial. Carecen de conocimiento del cliente; por lo tanto, no pueden crear una estrategia de comercio digital integrada o una estrategia omnicanal. En cambio, el comercio digital está diseñado para lograr los objetivos de la empresa, no necesariamente para satisfacer las necesidades de los clientes. Debido a los ingresos limitados, el presupuesto del comercio digital, los recursos y las inversiones en tecnología están limitados. El marketing tiene dificultades para medir el impacto de las campañas en los resultados del comercio digital debido a los datos y los sistemas en silos, lo que dificulta la justificación del gasto de marketing incremental o la optimización de la selección, la mensajería o la orientación del canal de marketing."
"Conducida por datos";"1";"Nivel 1: Naciente";"Su organización de marketing recopila menos datos de los deseados, pero se ve abrumada por los datos que recopila. Por lo tanto, la mayoría de los datos se quedan esperando a que alguien los use. El equipo de marketing recopila datos para fines ad hoc, pero a menudo actúa sobre la base de información parcial y corazonadas."
"Operaciones";"1";"Nivel 1: Naciente";"La organización de marketing apoya nuevas iniciativas a través del heroico esfuerzo de individuos que ejecutan laboriosos procesos con herramientas básicas."
"Innovación";"1";"Nivel 1: Naciente";"Las empresas reaccionan a las necesidades comerciales inmediatas o buscan innovaciones comprobadas en el mercado. La ejecución de proyectos generalmente se subcontrata a un tercero y el liderazgo del proyecto es informal. Por lo general, es administrado por voluntarios o un comercializador de nivel medio con ancho de banda adicional."
"Recursos";"2";"Nivel 2: Desarrollo";"Los presupuestos de marketing están de alguna manera alineados con las necesidades, pero asegurar los recursos puede ser una batalla cuesta arriba. Las brechas de habilidades y tecnología solo se llenan parcialmente o enfrentan resistencia."
"Experiencia del cliente";"2";"Nivel 2: Desarrollo";"Líder de CX designado pero falta de patrocinio de alto nivel. CX tiene la tarea de elevar una métrica de nivel superior como NPS o CSAT, pero no ha conectado la percepción del cliente con los KPI comerciales o financieros. Colaboración CX establecida pero no uniforme. Los esfuerzos de VoC y de conocimiento del cliente no se coordinan de manera uniforme en toda la organización. Las personas se desarrollan pero son débiles y no impulsan decisiones o acciones."
"Marketing multicanal";"2";"Nivel 2: Desarrollo";"Los programas de marketing recopilan información sobre los clientes y promueven. Los sitios web, por ejemplo, desempeñan un papel más importante a la hora de fomentar los intereses de los visitantes, captar información y proporcionar contenido. Las comunidades sociales entran en juego, y la marca actúa más como un participante activo que como un observador o moderador. El flujo de trabajo y la publicación de contenido son manuales e ineficientes."
"Social";"2";"Nivel 2: Desarrollo";"El diálogo unidireccional, desde la marca u organización al seguidor, se convierte en una conversación bidireccional."
"Móvil";"2";"Nivel 2: Desarrollo";"Se crea una fuerte presencia móvil mediante el desarrollo de tácticas efectivas y repetibles."
